Sample	Bacteria	Eukaryota	Viruses	Archaea	Unclassified
MUX10057.WHB7637.unmapped-both-read-and-mate	3146.0	611.0	5.0	nan	18047.0
MUX10057.WHB7638.unmapped-both-read-and-mate	2179.0	640.0	2.0	1.0	16739.0
MUX10058.WHB7639.unmapped-both-read-and-mate	1820.0	536.0	nan	1.0	11675.0
MUX10058.WHB7640.unmapped-both-read-and-mate	1807.0	493.0	1.0	nan	11735.0
MUX10058.WHB7641.unmapped-both-read-and-mate	2294.0	526.0	1.0	nan	10980.0
MUX10058.WHB7642.unmapped-both-read-and-mate	1986.0	539.0	1.0	nan	10249.0
MUX10058.WHB7643.unmapped-both-read-and-mate	1650.0	475.0	nan	nan	10136.0
MUX10059.WHB7644.unmapped-both-read-and-mate	2750.0	427.0	3.0	nan	9840.0
MUX10059.WHB7645.unmapped-both-read-and-mate	2017.0	461.0	2.0	nan	8608.0
MUX10059.WHB7646.unmapped-both-read-and-mate	3349.0	512.0	8.0	1.0	11664.0
MUX10059.WHB7647.unmapped-both-read-and-mate	2253.0	439.0	26.0	nan	8058.0
MUX10059.WHB7648.unmapped-both-read-and-mate	2352.0	465.0	8.0	nan	10989.0
MUX10060.WHB6580.unmapped-both-read-and-mate	1102.0	460.0	1.0	nan	10060.0
MUX10060.WHB6581.unmapped-both-read-and-mate	1576.0	544.0	nan	1.0	12722.0
MUX10060.WHB6589.unmapped-both-read-and-mate	1498.0	714.0	1.0	nan	15592.0
MUX10060.WHB6590.unmapped-both-read-and-mate	1686.0	600.0	nan	nan	12541.0
MUX10060.WHB7649.unmapped-both-read-and-mate	3119.0	517.0	2.0	nan	12762.0
MUX10061.WHB6593.unmapped-both-read-and-mate	2207.0	449.0	1.0	nan	12574.0
MUX10061.WHB6594.unmapped-both-read-and-mate	2842.0	563.0	2.0	nan	15787.0
MUX10061.WHB6595.unmapped-both-read-and-mate	1269.0	562.0	1.0	1.0	13446.0
MUX10061.WHB6599.unmapped-both-read-and-mate	1371.0	504.0	1.0	nan	13433.0
MUX10061.WHB6601.unmapped-both-read-and-mate	1658.0	540.0	nan	nan	16475.0
MUX10062.WHB6597.unmapped-both-read-and-mate	2784.0	704.0	1.0	nan	15010.0
MUX10062.WHB6598.unmapped-both-read-and-mate	2293.0	512.0	nan	1.0	11337.0
MUX10062.WHB6600.unmapped-both-read-and-mate	1691.0	537.0	1.0	nan	13913.0
MUX10062.WHB6602.unmapped-both-read-and-mate	2488.0	566.0	nan	nan	14212.0
MUX10062.WHB6603.unmapped-both-read-and-mate	1210.0	546.0	3.0	nan	12646.0
MUX10063.WHB6605.unmapped-both-read-and-mate	3418.0	509.0	8.0	2.0	12518.0
MUX10063.WHB6607.unmapped-both-read-and-mate	3545.0	557.0	nan	nan	13262.0
MUX10063.WHB6610.unmapped-both-read-and-mate	1567.0	508.0	7.0	nan	12713.0
MUX10063.WHB6611.unmapped-both-read-and-mate	3416.0	494.0	nan	nan	12382.0
MUX10063.WHB6612.unmapped-both-read-and-mate	2229.0	536.0	3.0	nan	13091.0
MUX10064.WHB6606.unmapped-both-read-and-mate	2956.0	618.0	2.0	1.0	13850.0
MUX10064.WHB6609.unmapped-both-read-and-mate	3325.0	727.0	1.0	1.0	15059.0
MUX10064.WHB6613.unmapped-both-read-and-mate	1597.0	476.0	nan	nan	11359.0
MUX10064.WHB6614.unmapped-both-read-and-mate	1457.0	532.0	nan	nan	10049.0
MUX10064.WHB6615.unmapped-both-read-and-mate	2337.0	684.0	nan	1.0	13854.0
MUX10065.WHB6641.unmapped-both-read-and-mate	2075.0	490.0	1.0	nan	9605.0
MUX10065.WHB6642.unmapped-both-read-and-mate	1096.0	448.0	2.0	1.0	8788.0
MUX10065.WHB6643.unmapped-both-read-and-mate	1281.0	406.0	8.0	1.0	10751.0
MUX10065.WHB6644.unmapped-both-read-and-mate	1298.0	529.0	nan	1.0	10473.0
MUX10065.WHB6645.unmapped-both-read-and-mate	1930.0	541.0	2.0	nan	10697.0
MUX10066.WHB6646.unmapped-both-read-and-mate	3813.0	450.0	1.0	3.0	11458.0
MUX10066.WHB6647.unmapped-both-read-and-mate	1868.0	392.0	2.0	1.0	10659.0
MUX10066.WHB6648.unmapped-both-read-and-mate	3098.0	358.0	nan	1.0	9104.0
MUX10066.WHB6649.unmapped-both-read-and-mate	4103.0	341.0	1.0	nan	11214.0
