Sample	Pseudomonadaceae	Sphingomonadaceae	Hominidae	Alcaligenaceae	Bradyrhizobiaceae	Other	Unclassified
MUX10049.WHB7593.unmapped-both-read-and-mate	14.0	21.0	756.0	3.0	1656.0	454.0	33316.0
MUX10049.WHB7594.unmapped-both-read-and-mate	17.0	34.0	866.0	3.0	2124.0	570.0	33112.0
MUX10049.WHB7595.unmapped-both-read-and-mate	14.0	18.0	747.0	2.0	1592.0	455.0	30405.0
MUX10050.WHB7597.unmapped-both-read-and-mate	7.0	16.0	764.0	4.0	1070.0	276.0	27388.0
MUX10050.WHB7598.unmapped-both-read-and-mate	5.0	20.0	866.0	6.0	1243.0	396.0	32323.0
MUX10050.WHB7599.unmapped-both-read-and-mate	13.0	32.0	1075.0	6.0	1565.0	497.0	46940.0
MUX10050.WHB7600.unmapped-both-read-and-mate	20.0	36.0	773.0	12.0	2314.0	826.0	32157.0
MUX10050.WHB7601.unmapped-both-read-and-mate	14.0	17.0	1038.0	7.0	1583.0	436.0	47264.0
MUX10051.WHB7602.unmapped-both-read-and-mate	7.0	31.0	956.0	10.0	2123.0	555.0	43549.0
MUX10051.WHB7603.unmapped-both-read-and-mate	18.0	26.0	825.0	3.0	1680.0	512.0	34590.0
MUX10051.WHB7604.unmapped-both-read-and-mate	18.0	32.0	751.0	9.0	2068.0	665.0	32486.0
MUX10051.WHB7605.unmapped-both-read-and-mate	23.0	28.0	838.0	6.0	1837.0	591.0	40892.0
MUX10051.WHB7606.unmapped-both-read-and-mate	14.0	30.0	893.0	14.0	2499.0	691.0	42058.0
MUX10052.WHB7607.unmapped-both-read-and-mate	18.0	19.0	1100.0	9.0	1940.0	613.0	50920.0
MUX10052.WHB7608.unmapped-both-read-and-mate	12.0	18.0	812.0	2.0	1047.0	279.0	36353.0
MUX10052.WHB7609.unmapped-both-read-and-mate	12.0	45.0	710.0	6.0	2120.0	588.0	30109.0
MUX10052.WHB7610.unmapped-both-read-and-mate	22.0	32.0	956.0	4.0	1537.0	426.0	43820.0
MUX10052.WHB7611.unmapped-both-read-and-mate	11.0	39.0	1247.0	8.0	2481.0	721.0	54444.0
MUX10053.WHB7612.unmapped-both-read-and-mate	11.0	28.0	1284.0	14.0	1797.0	486.0	50240.0
MUX10053.WHB7613.unmapped-both-read-and-mate	15.0	39.0	1092.0	10.0	1802.0	548.0	44843.0
MUX10053.WHB7614.unmapped-both-read-and-mate	24.0	35.0	1365.0	9.0	1941.0	561.0	54468.0
MUX10053.WHB7616.unmapped-both-read-and-mate	20.0	42.0	1135.0	2.0	3141.0	921.0	48598.0
MUX10053.WHB7618.unmapped-both-read-and-mate	14.0	31.0	1265.0	6.0	2388.0	629.0	50595.0
MUX10054.WHB7619.unmapped-both-read-and-mate	15.0	27.0	765.0	4.0	2030.0	3723.0	40523.0
MUX10054.WHB7620.unmapped-both-read-and-mate	71.0	22.0	1154.0	5.0	1504.0	410.0	49167.0
MUX10054.WHB7621.unmapped-both-read-and-mate	29.0	51.0	1331.0	10.0	3150.0	1069.0	63169.0
MUX10054.WHB7622.unmapped-both-read-and-mate	23.0	39.0	1147.0	12.0	3227.0	785.0	46417.0
MUX10054.WHB7623.unmapped-both-read-and-mate	9.0	20.0	1029.0	4.0	1580.0	388.0	43353.0
MUX10055.WHB7624.unmapped-both-read-and-mate	49.0	96.0	1105.0	23.0	3695.0	3235.0	48470.0
MUX10055.WHB7625.unmapped-both-read-and-mate	25.0	44.0	1017.0	15.0	3117.0	1302.0	47424.0
MUX10055.WHB7626.unmapped-both-read-and-mate	26.0	17.0	1040.0	5.0	1895.0	497.0	43056.0
MUX10055.WHB7627.unmapped-both-read-and-mate	8.0	34.0	911.0	11.0	1911.0	541.0	38255.0
MUX10055.WHB7628.unmapped-both-read-and-mate	11.0	22.0	843.0	7.0	1970.0	549.0	35319.0
MUX10056.WHB7629.unmapped-both-read-and-mate	13.0	28.0	1213.0	4.0	1704.0	468.0	54459.0
MUX10056.WHB7630.unmapped-both-read-and-mate	11.0	34.0	866.0	9.0	1930.0	573.0	37306.0
MUX10056.WHB7631.unmapped-both-read-and-mate	5.0	21.0	1392.0	8.0	1898.0	531.0	60993.0
MUX10056.WHB7632.unmapped-both-read-and-mate	17.0	27.0	820.0	3.0	2292.0	602.0	33875.0
MUX10057.WHB7634.unmapped-both-read-and-mate	14.0	15.0	585.0	4.0	1373.0	399.0	15173.0
MUX10057.WHB7635.unmapped-both-read-and-mate	14.0	16.0	517.0	1.0	1228.0	330.0	13647.0
MUX10057.WHB7636.unmapped-both-read-and-mate	38.0	16.0	621.0	5.0	2305.0	695.0	22606.0
MUX10057.WHB7637.unmapped-both-read-and-mate	14.0	27.0	611.0	13.0	2471.0	626.0	18047.0
MUX10057.WHB7638.unmapped-both-read-and-mate	6.0	21.0	640.0	7.0	1708.0	440.0	16739.0
MUX10058.WHB7639.unmapped-both-read-and-mate	11.0	11.0	536.0	7.0	1450.0	342.0	11675.0
MUX10058.WHB7640.unmapped-both-read-and-mate	18.0	31.0	493.0	5.0	1335.0	419.0	11735.0
MUX10058.WHB7641.unmapped-both-read-and-mate	14.0	20.0	526.0	2.0	1532.0	727.0	10980.0
MUX10058.WHB7642.unmapped-both-read-and-mate	11.0	22.0	539.0	3.0	1525.0	426.0	10249.0
MUX10058.WHB7643.unmapped-both-read-and-mate	14.0	13.0	475.0	4.0	1314.0	305.0	10136.0
MUX10059.WHB7644.unmapped-both-read-and-mate	16.0	29.0	427.0	7.0	2132.0	569.0	9840.0
