Sample	Pseudomonas	Homo	Ralstonia	Alcaligenes	Sphingomonas	Other	Unclassified
MUX5246.WHH5063.unmapped-both-read-and-mate	nan	537.0	1.0	nan	3.0	34.0	6014.0
MUX5246.WHH5064.unmapped-both-read-and-mate	1.0	498.0	nan	nan	nan	8.0	5924.0
MUX5247.WHH5072.unmapped-both-read-and-mate	13.0	574.0	14.0	nan	nan	3688.0	15413.0
MUX5247.WHH5074.unmapped-both-read-and-mate	25.0	643.0	8.0	nan	nan	4373.0	17662.0
MUX5250.WHH5109.unmapped-both-read-and-mate	61.0	375.0	7807.0	1.0	4.0	3066.0	5260.0
MUX5255.WHH5000.unmapped-both-read-and-mate	1.0	501.0	5.0	nan	nan	51.0	6160.0
MUX5261.WHH5159.unmapped-both-read-and-mate	2.0	449.0	347.0	nan	nan	83.0	7780.0
MUX5261.WHH5160.unmapped-both-read-and-mate	7.0	460.0	530.0	nan	5.0	87.0	7407.0
MUX5261.WHH5161.unmapped-both-read-and-mate	7.0	534.0	843.0	nan	nan	88.0	8545.0
MUX5264.WHH5170.unmapped-both-read-and-mate	47.0	927.0	4.0	nan	1.0	17022.0	55702.0
MUX5266.WHH5178.unmapped-both-read-and-mate	22.0	405.0	3038.0	nan	1.0	308.0	6300.0
MUX5266.WHH5188.unmapped-both-read-and-mate	187.0	2218.0	1.0	2.0	nan	57762.0	201374.0
MUX5287.WHH4826.unmapped-both-read-and-mate	1.0	618.0	nan	nan	15.0	109.0	6806.0
MUX5287.WHH4831.unmapped-both-read-and-mate	3.0	520.0	nan	nan	1.0	22.0	5034.0
MUX5288.WHH4837.unmapped-both-read-and-mate	2.0	480.0	1.0	nan	1.0	30.0	4430.0
MUX5288.WHH4844.unmapped-both-read-and-mate	2.0	400.0	nan	nan	nan	25.0	4027.0
MUX5295.WHH4869.unmapped-both-read-and-mate	1.0	401.0	nan	nan	nan	27.0	3619.0
MUX5297.WHH4901.unmapped-both-read-and-mate	5.0	386.0	7.0	nan	nan	346.0	4035.0
MUX5299.WHH4929.unmapped-both-read-and-mate	1.0	502.0	2.0	nan	nan	38.0	6421.0
